strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
voladj6_3-1 | classic_long_short | scaled cap25 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.25,1.0,6.0,,,12.87%,0.47%,16.14%,0.029,-47.96%,53.21%,1.129,True,-0.220,3.81%,-0.206,-0.313,-0.093,2.77%,-0.145,-0.290,-0.115,2.97%,-0.143,-0.321,0.102,1.87%,0.112,-0.378,-0.160,3.77%,-0.191,-0.021
voladj6_3-1 | classic_long_short | scaled cap20 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.2,1.0,6.0,,,14.59%,0.53%,15.98%,0.033,-47.46%,53.21%,1.146,True,-0.216,3.81%,-0.205,-0.314,-0.092,2.79%,-0.144,-0.290,-0.113,2.98%,-0.141,-0.322,0.105,1.75%,0.115,-0.383,-0.161,3.71%,-0.192,-0.024
voladj6_3-1 | classic_long_short | scaled cap15 | top10,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,10,scaled,0.15,1.0,6.0,,,9.30%,0.34%,15.50%,0.022,-47.29%,52.56%,1.093,True,-0.207,3.47%,-0.203,-0.330,-0.090,2.52%,-0.146,-0.300,-0.108,2.67%,-0.140,-0.335,0.112,1.30%,0.127,-0.407,-0.163,3.34%,-0.199,-0.038
voladj6_3-1 | classic_long_short | equal | top20,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,20,equal,,1.0,6.0,,,10.12%,0.37%,10.77%,0.034,-36.71%,50.96%,1.101,True,-0.125,2.11%,-0.175,-0.419,-0.040,1.39%,-0.094,-0.354,-0.079,1.78%,-0.147,-0.399,0.041,2.27%,0.065,-0.434,-0.126,2.86%,-0.214,-0.057
voladj6_3-1 | classic_long_short | scaled cap25 | top20,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.25,1.0,6.0,,,8.02%,0.30%,12.87%,0.023,-43.49%,52.56%,1.080,True,-0.182,2.82%,-0.214,-0.377,-0.076,1.95%,-0.148,-0.329,-0.103,2.21%,-0.160,-0.371,0.068,1.63%,0.092,-0.436,-0.147,2.88%,-0.215,-0.057
voladj6_3-1 | classic_long_short | scaled cap20 | top20,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.2,1.0,6.0,,,8.28%,0.31%,12.87%,0.024,-43.49%,52.56%,1.083,True,-0.182,2.83%,-0.214,-0.376,-0.076,1.96%,-0.148,-0.329,-0.103,2.22%,-0.160,-0.370,0.068,1.64%,0.092,-0.435,-0.147,2.89%,-0.215,-0.056
voladj6_3-1 | classic_long_short | scaled cap15 | top20,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,20,scaled,0.15,1.0,6.0,,,9.04%,0.33%,12.87%,0.026,-43.53%,52.88%,1.090,True,-0.181,2.85%,-0.213,-0.375,-0.076,1.98%,-0.147,-0.328,-0.102,2.23%,-0.159,-0.370,0.069,1.64%,0.094,-0.435,-0.147,2.92%,-0.216,-0.055
voladj6_3-1 | classic_long_short | equal | top30,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,30,equal,,1.0,6.0,,,1.99%,0.08%,9.02%,0.008,-43.34%,52.88%,1.020,True,-0.113,1.54%,-0.190,-0.466,-0.049,1.02%,-0.135,-0.377,-0.075,1.27%,-0.166,-0.433,0.056,1.20%,0.104,-0.508,-0.104,1.66%,-0.209,-0.109
voladj6_3-1 | classic_long_short | scaled cap25 | top30,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,30,scaled,0.25,1.0,6.0,,,12.63%,0.46%,11.39%,0.040,-40.01%,53.21%,1.126,True,-0.163,2.63%,-0.216,-0.396,-0.071,1.88%,-0.156,-0.338,-0.094,2.10%,-0.166,-0.384,0.063,1.86%,0.095,-0.444,-0.143,2.90%,-0.233,-0.057
voladj6_3-1 | classic_long_short | scaled cap20 | top30,voladj6_3-1,volatility_adjusted,3.0,1,vol_adjusted_momentum,classic_long_short,30,scaled,0.2,1.0,6.0,,,12.63%,0.46%,11.39%,0.040,-40.01%,53.21%,1.126,True,-0.163,2.63%,-0.216,-0.396,-0.071,1.88%,-0.156,-0.338,-0.094,2.10%,-0.166,-0.384,0.063,1.86%,0.095,-0.444,-0.143,2.90%,-0.233,-0.057
