strategy_name,signal_name,signal_type,volatility_lookback_months,strategy_type,weighting,top_n,momentum_window,lookback_months,skip_months,max_weight,gross_exposure,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only scaled cap25 top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,3-1,3,1,0.25,1.0,11662.58%,19.92%,26.72%,0.745,-46.08%,61.59%,36.25%,-22.40%,117.63,0.98,True
long_only scaled cap20 top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,3-1,3,1,0.2,1.0,11350.76%,19.79%,26.63%,0.743,-45.91%,61.59%,37.31%,-22.36%,114.51,0.98,True
long_only scaled cap15 top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,3-1,3,1,0.15,1.0,11211.72%,19.74%,26.54%,0.744,-45.33%,60.63%,38.64%,-21.82%,113.12,0.98,True
long_only scaled cap10 top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,3-1,3,1,0.1,1.0,11475.42%,19.84%,26.66%,0.744,-45.09%,62.22%,41.13%,-21.50%,115.75,0.99,True
long_only equal top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,equal,30,3-1,3,1,,1.0,8818.38%,18.66%,26.03%,0.717,-46.93%,59.68%,39.51%,-32.25%,89.18,0.92,True
long_only scaled cap30 top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,3-1,3,1,0.3,1.0,12727.47%,20.31%,26.46%,0.768,-45.70%,62.54%,36.30%,-21.64%,128.27,0.98,True
long_only scaled cap25 top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,3-1,3,1,0.25,1.0,12067.31%,20.07%,26.41%,0.760,-45.72%,61.90%,36.45%,-21.64%,121.67,0.97,True
long_only scaled cap20 top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,3-1,3,1,0.2,1.0,11524.37%,19.86%,26.35%,0.754,-45.61%,62.22%,37.52%,-21.64%,116.24,0.97,True
long_only scaled cap15 top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,3-1,3,1,0.15,1.0,11317.00%,19.78%,26.27%,0.753,-45.33%,61.59%,38.61%,-21.47%,114.17,0.97,True
long_only scaled cap10 top30 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,3-1,3,1,0.1,1.0,12010.12%,20.05%,26.37%,0.760,-44.83%,61.59%,40.80%,-21.17%,121.10,0.97,True
