strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
wma_6-12 | long_only | scaled cap25 | top20,wma_6-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.25,1.0,,6.0,12.0,562.9449736884419,0.2809736548722921,0.3501564581380541,0.8024231692494281,-0.6284529027768806,0.6026058631921825,563.9449736884419,True,1.0548719652741319,0.2072229811404922,0.4545437900229426,0.6814114086888439,0.9065903620717665,0.21508624273051047,0.6496921284033861,0.7680672962328378,1.0242233695768153,0.20561489845786515,0.5811272194598051,0.7301646116545554,0.9188944003981159,0.15121957638263828,0.4640386497481919,0.47075555808158487,1.0228345590796863,0.2066027029001713,0.5663396093724316,0.746487914237983
wma_6-12 | long_only | scaled cap20 | top20,wma_6-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.2,1.0,,6.0,12.0,570.4699290997719,0.28163752217086935,0.3475252316707148,0.8104088466236172,-0.6272075978440621,0.6058631921824105,571.4699290997719,True,1.0525707587277604,0.2070810991143515,0.45698619241064253,0.6863633718567911,0.9031398503502075,0.21508242902868643,0.6521196877761316,0.7743272073229872,1.0216572205572452,0.2055105463498264,0.5840601086593449,0.7363151983851459,0.918120981203209,0.15242815928423817,0.4666123079359868,0.4782168886052053,1.0172581279192299,0.2073399499960655,0.5673537247755546,0.7545174271549063
wma_6-12 | long_only | scaled cap15 | top20,wma_6-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.15,1.0,,6.0,12.0,551.6237566413931,0.27995866084437715,0.34236956423176146,0.8177089615794929,-0.6258567545748448,0.6156351791530945,552.6237566413931,True,1.0447746460591263,0.20461064785910021,0.4604321000598683,0.6875118905811781,0.8940301744500726,0.21280780475438282,0.6552630435998094,0.7755663500073174,1.0136845896241984,0.20309330496332761,0.5882289190789403,0.7385591267275674,0.91496618160168,0.152759422533914,0.4710388943614391,0.4855623087474204,1.0081623656171435,0.20649364587229807,0.5696531976604794,0.7615610556748739
wma_6-12 | long_only | equal | top30,wma_6-12,wma_crossover,,1,wma_crossover,long_only,30,equal,,1.0,,6.0,12.0,148.1490907129529,0.2160806247631204,0.27041714641045594,0.7990640668737026,-0.593740611206381,0.6123778501628665,149.1490907129529,True,1.0199382455146735,0.1336439095393188,0.5690858282658546,0.609764627187663,0.8252446330669012,0.14665584806347956,0.7657854860437828,0.7150221287762142,0.9481757486037705,0.13640883055419809,0.6966157596803799,0.6747653340794361,0.7197866807927805,0.12548981776983104,0.45194193084457324,0.37703054846441303,0.9316396036640705,0.1555900234194777,0.6454726138796039,0.7421957898051834
wma_6-12 | long_only | scaled cap25 | top30,wma_6-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.25,1.0,,6.0,12.0,359.7255405784976,0.25879438526986887,0.3223011944983779,0.8029581946559349,-0.6101815093394924,0.5960912052117264,360.7255405784976,True,1.0422606788498188,0.1814749788996758,0.48792442330285474,0.6596126823348378,0.8793171745557348,0.19097634272847677,0.6846085024517936,0.7525440940608197,0.995405174566669,0.1815854923923681,0.6135877163356498,0.7116499331595889,0.850814633828548,0.14218426681392735,0.4615012848139978,0.4440637916327336,0.9962494246383058,0.1884696570208267,0.5933042634824197,0.746341274421048
wma_6-12 | long_only | scaled cap20 | top30,wma_6-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.2,1.0,,6.0,12.0,358.66620451329817,0.2586496854320455,0.32187241165439756,0.803578300179899,-0.6101815093394924,0.5960912052117264,359.66620451329817,True,1.042780499540953,0.18119968779476314,0.48881808588783576,0.6600664842065653,0.8774168630834448,0.1909522922003306,0.6840390114809342,0.7518442679342232,0.9958711475444862,0.1813133816000486,0.6146927259168119,0.7124920871884746,0.8530750550219013,0.1416462022579713,0.4635021204503025,0.44437192166412454,0.9942960079928637,0.18824268167203487,0.5932179998467972,0.7464453316501974
wma_6-12 | long_only | scaled cap15 | top30,wma_6-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.15,1.0,,6.0,12.0,358.19073996745874,0.25858460622706203,0.32061598783299616,0.806524365721134,-0.6090048478337953,0.5993485342019544,359.19073996745874,True,1.0416341385053385,0.18087255814187816,0.490194178112985,0.6616757347932536,0.8749590645703315,0.19077181802603915,0.6847959884551034,0.7533390990752493,0.9955691171780767,0.18090483990706088,0.6169144158995343,0.7151199283487236,0.8542733910220336,0.1414597973203937,0.4659645328414752,0.44658566787592896,0.9906807259766187,0.18800135805688512,0.5936339245442193,0.7484678851618155
wma_6-12 | classic_long_short | equal | top10,wma_6-12,wma_crossover,,1,wma_crossover,classic_long_short,10,equal,,1.0,,6.0,12.0,-22.92749089638227,,3.124358291786392,,-11.61639496138779,0.5667752442996743,-21.92749089638227,False,-2.979887087130319,-0.28818209215779467,-0.14390540154670364,-0.21537327276399004,-2.752181004488583,-0.2902465572351657,-0.22104200398452387,-0.21500593927197556,-1.9818466027358703,-0.37709760319433183,-0.12602243960354334,-0.21639475417046158,1.5782490988255604,-0.8789874210059605,0.07991856160216433,-0.24041916349153333,-2.2440245861709673,-0.667347639476573,-0.11983850117289682,-0.2238153226321286
wma_6-12 | classic_long_short | scaled cap25 | top10,wma_6-12,wma_crossover,,1,wma_crossover,classic_long_short,10,scaled,0.25,1.0,,6.0,12.0,-23.82683237562063,,13.320666005873488,,-11.92565985437295,0.5342019543973942,-22.82683237562063,False,-12.061501814395116,-1.43995036928109,-0.13661977517718193,-0.20389630769438638,-11.569934397124086,-1.4029762693814722,-0.2179533783469448,-0.20390572330088608,-7.958888668551783,-1.8062984022948148,-0.11870394928866033,-0.20417890529741545,6.781905236429432,-3.8798544549471665,0.08052057586275596,-0.22311363325518666,-9.408550772032344,-2.955346671511292,-0.11779917620833241,-0.22393070193932946
wma_6-12 | classic_long_short | scaled cap20 | top10,wma_6-12,wma_crossover,,1,wma_crossover,classic_long_short,10,scaled,0.2,1.0,,6.0,12.0,-24.203077957240517,,12.303859950020373,,-12.21771278720727,0.5342019543973942,-23.203077957240517,False,-11.181232588299773,-1.3225717017160812,-0.13711545891776883,-0.2041899771719928,-10.704377352429244,-1.2905265110990123,-0.21831253835743897,-0.20419717013450542,-7.378505416998222,-1.662134811735134,-0.11914222300558854,-0.20449474065363873,6.249649673025275,-3.578325667981816,0.08033357421137326,-0.22349616328671057,-8.711572793586681,-2.725691317639746,-0.11808724028187825,-0.2238701859832609
